fen,sequence_of_moves,found_mate,best_mate,difference,compute_duration
2r5/2R5/3npkpp/3bN3/p4PP1/4K3/P1B4P/8 w - - 1 1,g4g5->h6g5->e5g4,2,2,0,0.3993110656738281
5r1r/1p6/p1p2p2/2P1bPpk/4R3/6PP/P2B2K1/3R4 w - - 1 1,e4h4->g5h4->g3g4,2,2,0,0.20554280281066895
5qrk/5p1n/pp3p1Q/2pPp3/2P1P1rN/2P4R/P5P1/2B3K1 w - - 1 1,h4g6->f7g6->h6h7,2,2,0,0.34698486328125
3rk2r/p1qn1pp1/1p2pb1p/7P/2Pp4/B1P1QP2/P1B1KP2/3R3R w k - 1 1,e3e6->f7e6->c2g6,2,2,0,0.32536864280700684
r3kb1r/q5pp/p1p1Bnn1/1p2Q3/8/2N2PBP/PPP5/2KRR3 w - - 1 1,e5d5->h8g8->e6f7,2,2,0,0.4172086715698242
rq3rk1/3n1pp1/pb4n1/3N2P1/1pB1QP2/4B3/PP6/2KR3R w - - 1 1,d5e7->g6e7->e4h7,2,2,0,0.31819796562194824
3q2r1/p2b1k2/1pnBp1N1/3p1pQP/6P1/5R2/2r2P2/4RK2 w - - 1 1,g5f5->f7e8->f5f7,2,2,0,0.2855093479156494
8/p4pk1/6p1/3R4/3nqN1P/2Q3P1/5P2/3r1BK1 b - - 0 1,d1f1->g1f1->e4h1,2,2,0,1.7606489658355713
2r5/3nbkp1/2q1p1p1/1p1n2P1/3P4/2p1P1NQ/1P1B1P2/1B4KR w - - 1 1,b1g6->f7g6->h3h5,2,2,0,11.250572919845581
r1bq1rkb/ppp2n1p/5n2/4p1NN/5pQ1/1BP5/PP3PPP/R1B1K2R w KQ - 1 1,g5f3->h8g7->g4g7,2,2,0,0.9987571239471436
4r3/1b2r2p/p2p2k1/P1pP1R1N/3b4/1P1B3P/3n2P1/5R1K w - - 1 1,f5e5->d2e4->f1f6,2,2,0,0.5647110939025879
2b3k1/1p5p/2p1n1pQ/3qB3/3P4/3B3P/r5P1/5RK1 w - - 1 1,f1f6->g8h8->f6f8,2,2,0,4.508927822113037
3rk2r/1pR2p2/b2BpPp1/p2p4/8/1P6/P4PPP/4R1K1 w - - 1 1,e1e6->f7e6->f6f7,2,2,0,0.24825787544250488
4nr1k/1bq3pp/5p2/1p2pNQ1/3pP3/1B1P3R/1PP3PP/6K1 w - - 1 1,h3h7->h8h7->g5h5,2,2,0,1.30908203125
r1bk1r2/pp1n2pp/3NQ3/1P6/8/2n2PB1/q1B3PP/3R1RK1 w - - 1 1,h2h4->f8h8->d6f7,2,2,0,2.627919912338257
1rb2k2/pp3ppQ/7q/2p1n1N1/2p5/2N5/P3BP1P/K2R4 w - - 1 1,h7b1->f8g8->d1d8,2,2,0,0.24486517906188965
